country,totalCases,totalNewCases,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
India,490401,136336,0.32568691591242005,0.28800377961507706,0.3633553317305474,1380004385,6.1e-4,3.5e-4,0.0011
Indonesia,50187,9787,0.3175652399007186,0.2679346210979173,0.3729057784536307,273523621,2.3e-4,1.2e-4,4.5e-4
Iran,215096,22657,0.25543078260647256,0.2242319730866801,0.28819326000608814,83992953,0.0021,0.0012,0.004
Iraq,39139,16439,0.1860954528940136,0.15884695668700072,0.21642389862820388,40222503,0.0044,0.0025,0.0086
Ireland,25405,71,0.22202565126940632,0.14134060503330376,0.3264077850886479,4937796,1.3e-4,5.7e-5,3.4e-4
Isle of Man,336,0,0.3828517108649286,0.09942774324552281,0.9752264534491693,85032,0,0,0
Israel,22400,2763,0.9198142884262055,0.7824517006876214,0.9993015650115382,8655541,6.9e-4,4.1e-4,0.0014
Italy,239706,2206,0.13739695610546482,0.1174663186863853,0.15971926025641078,60461828,5.3e-4,3e-4,0.001
Jamaica,684,63,0.7227256369291841,0.2901617187740464,0.999020220521968,2961161,5.9e-5,2.8e-5,2.4e-4
Japan,18197,569,0.2343384563093293,0.14927910714852466,0.3500539468120568,126476458,3.8e-5,1.7e-5,1e-4
Kazakhstan,19750,4208,0.8585740625580393,0.49110111011960045,0.9999999881316913,18776707,5.2e-4,2.9e-4,0.0015
Kenya,5384,1524,0.6001446311467237,0.4250031539108482,0.8102111348835681,53771300,9.4e-5,4.5e-5,2.2e-4
Kosovo,2169,683,0.7505657059968049,0.45425388846986653,0.9995987891767004,1810366,0.001,4.9e-4,0.0028
Kuwait,42788,5830,0.9895749597609212,0.9435885737091311,0.9999999999385847,4270563,0.0028,0.0018,0.0048
Kyrgyzstan,4204,1642,0.7900712433004401,0.5247701315851272,0.9974502673224305,6524191,6.4e-4,3.3e-4,0.0016
Latvia,1111,13,0.3611232712974477,0.1393298186840216,0.6477419062663317,1886202,3.8e-5,1.4e-5,1.6e-4
